"Name","Size","Date Modified","Date Created"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第一册\02-3 三殊胜（下）.mp4","423.76 MB","2021-12-29 4:45:56 AM","2021-12-29 4:45:56 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\曼扎的修法\03 慧灯禅修课31 加行的修法-曼荼罗1.mp4","423.78 MB","2021-02-09 8:04:12 PM","2021-02-09 8:04:12 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\04-1 慧灯禅修课31 加行的修法-曼荼罗1.mp4","423.78 MB","2021-02-09 8:31:36 PM","2021-02-09 8:31:36 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\经典解读\离四贪\萨迦离四贪法.mp4","428.81 MB","2021-12-29 3:56:24 AM","2024-10-26 9:03:25 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\经典解读\经典解读系列其他\萨迦离四贪法.mp4","428.81 MB","2021-12-29 1:27:50 AM","2021-12-29 1:27:50 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\佛法与生活\04 佛法融入生活：如何面对幸福.mp4","431.43 MB","2021-12-29 1:27:10 AM","2021-12-29 1:27:10 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第二册\03-4 佛法融入生活：如何面对幸福.mp4","431.43 MB","2021-12-29 1:27:10 AM","2021-12-29 1:27:10 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\环球系列\中国香港\2017香港弘法行 《四法宝鬘论》释义1.mp4","434.17 MB","2021-12-28 8:24:30 PM","2023-11-13 11:01:39 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\经典解读\四法宝鬘论\2017香港弘法行 《四法宝鬘论》释义1.mp4","434.17 MB","2021-12-28 8:24:30 PM","2021-12-28 8:24:30 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\佛法与生活\05 佛法融入生活：行为转为道用1.mp4","434.22 MB","2021-12-29 1:27:20 AM","2021-12-29 1:27:20 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第一册\07-1 佛法融入生活：行为转为道用1.mp4","434.22 MB","2021-12-29 1:27:20 AM","2021-12-29 1:27:20 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第三册\从《佛说稻秆经》谈佛教人生观和世界观1.mp4","439.15 MB","2020-12-23 3:08:32 PM","2020-12-23 3:08:32 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\经典解读\佛说稻秆经\从《佛说稻秆经》谈佛教人生观和世界观1.mp4","439.15 MB","2020-12-23 3:08:32 PM","2020-12-23 3:08:32 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\上师瑜伽\06 慧灯禅修课33 加行的修法-上师瑜伽1.mp4","442.80 MB","2022-07-11 12:28:50 AM","2023-11-13 9:42:37 AM"
